#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
       -14,       -11,       -13,        -6,       -14
       -25,       -28,       -25,       -11,       -25
        46,        37,        46,        20,        46
         6,        11,         5,         2,         6
        29,        31,        30,        13,        29
       -44,       -42,       -45,       -19,       -44
        15,        12,        15,         6,        15
        23,        25,        24,        10,        23
       -23,       -24,       -23,       -10,       -23
        -1,        -2,        -2,         0,        -1
        16,        21,        17,         7,        16
         5,         4,         4,         2,         5
       -43,       -42,       -43,       -18,       -43
        12,         9,        12,         5,        12
       -10,       -12,        -9,        -4,       -10
        14,        17,        14,         5,        14
       -10,       -18,       -10,        -4,       -10
        23,        33,        23,        10,        23
        -5,       -11,        -6,        -2,        -5
        25,        23,        25,        10,        25
        -8,        -1,        -7,        -3,        -8
       -23,       -25,       -23,       -10,       -23
       -45,       -52,       -46,       -19,       -45
        22,        30,        23,        10,        22
        24,        25,        24,        10,        24
        42,        46,        42,        18,        42
       -64,       -68,       -64,       -28,       -64
         3,         4,         2,         2,         3
        10,        13,        11,         4,        10
       -18,       -27,       -18,        -8,       -18
        27,        35,        27,        12,        27
        23,        21,        23,         9,        23
        -8,       -11,        -8,        -3,        -8
       -14,       -14,       -14,        -6,       -14
       -21,       -21,       -21,        -9,       -21
       -38,       -35,       -38,       -16,       -38
        39,        30,        39,        17,        39
        48,        47,        48,        20,        48
       -20,       -20,       -21,        -8,       -20
       -46,       -35,       -45,       -20,       -46
       106,        93,       106,        45,       106
       -74,       -58,       -74,       -31,       -74
       -14,       -18,       -14,        -6,       -14
         5,         9,         4,         2,         5
        22,        13,        23,         9,        22
       -13,       -15,       -13,        -5,       -13
        37,        42,        36,        15,        37
       -32,       -27,       -31,       -13,       -32
         3,        -6,         3,         1,         3
        11,        19,        11,         5,        11
       -27,       -26,       -28,       -12,       -27
        13,         8,        13,         6,        13
        45,        35,        46,        19,        45
       -59,       -47,       -59,       -25,       -59
        -5,       -10,        -6,        -2,        -5
        53,        53,        54,        22,        53
       -54,       -53,       -54,       -23,       -54
         2,         0,         1,         1,         2
        -4,        -2,        -3,        -2,        -4
         6,         9,         6,         3,         6
       -12,       -19,       -13,        -5,       -12
        44,        49,        45,        19,        44
       -31,       -34,       -32,       -14,       -31
        33,        28,        33,        14,        33
        15,        16,        15,         7,        15
       -31,       -31,       -30,       -13,       -31
       -44,       -33,       -45,       -19,       -44
        29,        27,        30,        12,        29
       -16,       -22,       -16,        -7,       -16
        41,        37,        41,        18,        41
