#                            max     min     neg     zer     pos
# caluDetBegin - realBegin:   84     -11    1581     326    2094
# realEnd   - caluDetEnd  :  119    -175     855      50    3096
# bytecnt, realBegin, caluDetBegin, realEnd, caluDetEnd
    167510,     72038,     72042,    167265,    167234
    167507,     72037,     72039,    167263,    167234
    167492,     72021,     72024,    167247,    167234
    167527,     72061,     72059,    167283,    167234
    167466,     71992,     72010,    167222,    167246
    167464,     71992,     72010,    167220,    167248
    167533,     72067,     72065,    167289,    167234
    167493,     72031,     72025,    167248,    167234
    167500,     72021,     72032,    167256,    167234
    167464,     71995,     72010,    167219,    167248
    167493,     72024,     72025,    167249,    167234
    167506,     72035,     72038,    167262,    167234
    167514,     72046,     72046,    167270,    167234
    167489,     72025,     72021,    167245,    167234
    167485,     72022,     72017,    167241,    167234
    167510,     72040,     72042,    167266,    167234
    167505,     72038,     72037,    167261,    167234
    167519,     72052,     72051,    167275,    167234
    167519,     72038,     72051,    167275,    167234
    167487,     72017,     72019,    167242,    167234
    167509,     72037,     72041,    167264,    167234
    167489,     72021,     72021,    167245,    167234
    167482,     72019,     72014,    167238,    167234
    167489,     72019,     72021,    167245,    167234
    167473,     72010,     72010,    167229,    167239
    167496,     72027,     72028,    167252,    167234
    167488,     72017,     72020,    167243,    167234
    167447,     71988,     72010,    167203,    167265
    167481,     72013,     72013,    167236,    167234
    167493,     72024,     72025,    167249,    167234
    167509,     72036,     72041,    167265,    167234
    167495,     72032,     72027,    167250,    167234
    167489,     72023,     72021,    167244,    167234
    167542,     72073,     72074,    167298,    167234
    167502,     72030,     72034,    167258,    167234
    167496,     72036,     72028,    167252,    167234
    167507,     72039,     72039,    167262,    167234
    167514,     72045,     72046,    167270,    167234
    167507,     72043,     72039,    167262,    167234
    167517,     72054,     72049,    167273,    167234
    167472,     72003,     72010,    167227,    167240
    167507,     72042,     72039,    167262,    167234
    167497,     72025,     72029,    167253,    167234
    167520,     72053,     72052,    167275,    167234
    167505,     72034,     72037,    167260,    167234
    167496,     72021,     72028,    167252,    167234
    167464,     72001,     72010,    167220,    167248
    167482,     72019,     72014,    167237,    167234
    167493,     72030,     72025,    167248,    167234
    167512,     72045,     72044,    167267,    167234
    167471,     72007,     72010,    167226,    167241
    167504,     72032,     72036,    167260,    167234
    167480,     72013,     72012,    167236,    167234
    167504,     72032,     72036,    167260,    167234
    167515,     72048,     72047,    167271,    167234
    167502,     72036,     72034,    167258,    167234
    167498,     72032,     72030,    167254,    167234
    167516,     72049,     72048,    167272,    167234
    167495,     72032,     72027,    167250,    167234
    167528,     72062,     72060,    167284,    167234
    167538,     72072,     72070,    167294,    167234
    167534,     72068,     72066,    167290,    167234
    167492,     72025,     72024,    167248,    167234
    167500,     72028,     72032,    167255,    167234
    167532,     72061,     72064,    167287,    167234
    167512,     72050,     72044,    167267,    167234
    167497,     72037,     72029,    167252,    167234
    167498,     72028,     72030,    167254,    167234
    167526,     72065,     72058,    167282,    167234
    167531,     72066,     72063,    167286,    167234
    167514,     72046,     72046,    167270,    167234
    167518,     72055,     72050,    167274,    167234
    167486,     72023,     72018,    167242,    167234
    167538,     72072,     72070,    167294,    167234
    167543,     72077,     72075,    167299,    167234
    167503,     72032,     72035,    167258,    167234
    167552,     72089,     72084,    167308,    167234
    167520,     72051,     72052,    167276,    167234
    167546,     72077,     72078,    167301,    167234
    167493,     72026,     72025,    167248,    167234
    167523,     72058,     72055,    167278,    167234
    167501,     72032,     72033,    167257,    167234
    167475,     72007,     72010,    167231,    167237
    167465,     72003,     72010,    167220,    167247
    167461,     71994,     72010,    167216,    167251
    167438,     71976,     72010,    167193,    167274
    167499,     72040,     72031,    167254,    167234
    167481,     72018,     72013,    167237,    167234
    167438,     71977,     72010,    167194,    167274
    167472,     72010,     72010,    167228,    167240
    167429,     71960,     72010,    167185,    167283
    167459,     71993,     72010,    167214,    167253
    167428,     71964,     72010,    167183,    167284
    167479,     72006,     72011,    167235,    167234
    167434,     71965,     72010,    167189,    167278
    167478,     72010,     72011,    167234,    167233
    167482,     72014,     72014,    167238,    167234
    167468,     71999,     72010,    167224,    167244
    167461,     71993,     72010,    167217,    167251
    167490,     72027,     72022,    167246,    167234
    167425,     71958,     72010,    167181,    167287
    167505,     72035,     72037,    167260,    167234
    167467,     72000,     72010,    167222,    167245
    167483,     72011,     72015,    167239,    167234
    167473,     72007,     72010,    167228,    167239
    167487,     72024,     72019,    167243,    167234
    167497,     72028,     72029,    167253,    167234
    167469,     72001,     72010,    167224,    167243
    167469,     72003,     72010,    167225,    167243
    167482,     72018,     72014,    167237,    167234
    167495,     72028,     72027,    167251,    167234
    167496,     72030,     72028,    167251,    167234
    167487,     72018,     72019,    167243,    167234
    167513,     72044,     72045,    167269,    167234
    167549,     72081,     72081,    167304,    167234
    167493,     72027,     72025,    167248,    167234
    167483,     72016,     72015,    167239,    167234
    167499,     72027,     72031,    167254,    167234
    167500,     72027,     72032,    167255,    167234
    167492,     72024,     72024,    167247,    167234
    167513,     72043,     72045,    167269,    167234
    167469,     72001,     72010,    167224,    167243
    167487,     72021,     72019,    167243,    167234
    167525,     72056,     72057,    167281,    167234
    167448,     71985,     72010,    167204,    167264
    167467,     72004,     72010,    167223,    167245
    167501,     72032,     72033,    167257,    167234
    167470,     72001,     72010,    167226,    167242
    167516,     72051,     72048,    167272,    167234
    167486,     72023,     72018,    167241,    167234
    167480,     72011,     72012,    167235,    167234
    167497,     72033,     72029,    167252,    167234
    167494,     72034,     72026,    167250,    167234
    167452,     71981,     72010,    167207,    167260
    167505,     72035,     72037,    167261,    167234
    167476,     72010,     72010,    167231,    167236
    167500,     72035,     72032,    167255,    167234
    167507,     72041,     72039,    167262,    167234
    167515,     72048,     72047,    167271,    167234
    167490,     72021,     72022,    167245,    167234
    167494,     72022,     72026,    167250,    167234
    167525,     72057,     72057,    167280,    167234
    167489,     72015,     72021,    167244,    167234
    167526,     72062,     72058,    167282,    167234
    167488,     72013,     72020,    167244,    167234
    167494,     72028,     72026,    167250,    167234
    167524,     72052,     72056,    167280,    167234
    167475,     72006,     72010,    167231,    167237
    167488,     72021,     72020,    167244,    167234
    167489,     72022,     72021,    167245,    167234
    167488,     72023,     72020,    167244,    167234
    167475,     72012,     72010,    167230,    167237
    167543,     72070,     72075,    167298,    167234
    167508,     72040,     72040,    167263,    167234
    167525,     72068,     72057,    167281,    167234
    167510,     72047,     72042,    167265,    167234
    167486,     72020,     72018,    167241,    167234
    167493,     72029,     72025,    167249,    167234
    167479,     72010,     72011,    167235,    167234
    167512,     72040,     72044,    167267,    167234
    167506,     72037,     72038,    167262,    167234
    167506,     72039,     72038,    167261,    167234
    167506,     72043,     72038,    167262,    167234
    167494,     72025,     72026,    167250,    167234
    167488,     72020,     72020,    167243,    167234
    167502,     72037,     72034,    167257,    167234
    167499,     72029,     72031,    167255,    167234
    167512,     72038,     72044,    167268,    167234
    167514,     72038,     72046,    167270,    167234
