# avg10RB: 0.870722      avg10RE: 1.000000     pct5: 476.000000		
# bytecnt, realBegin, caluAddAvgBegin, caluPct5Begin, realEnd, caluAddAvgEnd, caluPct5End
    167546,     72078,     72056,     72532,    167302,    167287,    166811
    167492,     72025,     71962,     72439,    167248,    167180,    166704
    167494,     72025,     72011,     72488,    167249,    167236,    166760
    167490,     72023,     72006,     72483,    167246,    167230,    166754
    167496,     72032,     72015,     72491,    167252,    167240,    166764
    167484,     72013,     71999,     72476,    167239,    167222,    166746
    167528,     72062,     72048,     72524,    167284,    167278,    166802
    167497,     72028,     71983,     72459,    167252,    167203,    166727
    167530,     72056,     72038,     72515,    167285,    167267,    166791
    167545,     72072,     72023,     72499,    167300,    167249,    166773
    167514,     72041,     71983,     72459,    167270,    167203,    166727
    167470,     72008,     71971,     72448,    167225,    167190,    166714
    167499,     72035,     72035,     72511,    167255,    167263,    166787
    167483,     72013,     71996,     72472,    167239,    167218,    166742
    167524,     72050,     72045,     72522,    167280,    167275,    166799
    167541,     72072,     72024,     72501,    167297,    167251,    166775
    167499,     72035,     71973,     72449,    167255,    167192,    166716
    167497,     72030,     72008,     72484,    167252,    167232,    166756
    167493,     72033,     72006,     72483,    167248,    167230,    166754
    167501,     72036,     72016,     72493,    167257,    167242,    166766
    167501,     72033,     72010,     72486,    167256,    167234,    166758
    167480,     72007,     71991,     72468,    167235,    167213,    166737
    167505,     72041,     72031,     72508,    167261,    167259,    166783
    167469,     72004,     71978,     72455,    167224,    167198,    166722
    167490,     72020,     72028,     72504,    167246,    167255,    166779
    167483,     72015,     72003,     72480,    167239,    167227,    166751
    167505,     72039,     72029,     72505,    167261,    167256,    166780
    167474,     72004,     71983,     72459,    167229,    167203,    166727
    167456,     71992,     71994,     72470,    167211,    167216,    166740
    167525,     72062,     72070,     72546,    167281,    167303,    166827
    167517,     72052,     72003,     72479,    167273,    167226,    166750
    167490,     72024,     71986,     72462,    167246,    167207,    166731
    167494,     72031,     72013,     72489,    167250,    167238,    166762
    167495,     72030,     72010,     72487,    167250,    167235,    166759
    167477,     72009,     71994,     72470,    167233,    167216,    166740
    167504,     72029,     72033,     72510,    167260,    167261,    166785
    167517,     72050,     72021,     72497,    167273,    167247,    166771
    167506,     72034,     72000,     72476,    167262,    167223,    166747
    167530,     72055,     72030,     72507,    167286,    167258,    166782
    167482,     72017,     71968,     72444,    167237,    167186,    166710
    167500,     72034,     72025,     72502,    167256,    167252,    166776
    167485,     72021,     71996,     72473,    167240,    167219,    166743
    167498,     72030,     72021,     72497,    167253,    167247,    166771
    167506,     72033,     72016,     72493,    167262,    167242,    166766
    167514,     72045,     72016,     72493,    167270,    167242,    166766
    167499,     72030,     71996,     72473,    167254,    167219,    166743
    167506,     72034,     72016,     72492,    167262,    167241,    166765
    167521,     72055,     72023,     72499,    167277,    167249,    166773
    167485,     72012,     71978,     72455,    167241,    167198,    166722
    167498,     72031,     72021,     72497,    167253,    167247,    166771
    167510,     72037,     72020,     72496,    167266,    167246,    166770
    167542,     72070,     72037,     72514,    167298,    167266,    166790
    167524,     72058,     71994,     72470,    167280,    167216,    166740
    167505,     72039,     71993,     72469,    167261,    167215,    166739
    167540,     72065,     72040,     72516,    167295,    167269,    166793
    167488,     72020,     71964,     72441,    167244,    167182,    166706
    167494,     72028,     72015,     72491,    167249,    167240,    166764
    167471,     72010,     71989,     72466,    167226,    167211,    166735
    167481,     72019,     72018,     72495,    167236,    167244,    166768
    167517,     72053,     72041,     72517,    167273,    167270,    166794
    167499,     72028,     71994,     72470,    167255,    167216,    166740
    167473,     72010,     71987,     72463,    167229,    167208,    166732
    167538,     72075,     72066,     72543,    167294,    167299,    166823
    167497,     72031,     71974,     72450,    167253,    167193,    166717
    167492,     72018,     72005,     72482,    167248,    167229,    166753
    167507,     72040,     72023,     72499,    167262,    167249,    166773
